Scenario,Target,Mean_Delta,Low_90CI,High_90CI,Annual_Avoided
A,hospital_rate,-0.013863832,0.0027584573,0.073273994,-5.0602984
A,resp_rate,-0.0080989245,0.0014200475,0.041854158,-2.9561074
A,emergency_rate,-0.0031249924,0.00077653414,0.016797422,-1.1406223
B,hospital_rate,-0.012440223,0.0026894615,0.07611482,-4.5406814
B,resp_rate,-0.0072574867,0.0014389617,0.042335983,-2.6489825
B,emergency_rate,-0.0027894247,0.000772979,0.01732526,-1.0181401
C,hospital_rate,-0.014815884,0.0026970957,0.078312255,-5.4077973
C,resp_rate,-0.008781833,0.0014505635,0.043708824,-3.205369
C,emergency_rate,-0.0033551734,0.00077736535,0.017872363,-1.2246383
D,hospital_rate,-0.014804643,0.0027309183,0.08076529,-5.4036946
D,resp_rate,-0.008667106,0.0014645061,0.045185383,-3.1634936
D,emergency_rate,-0.003361621,0.0008132937,0.01853656,-1.2269917
